Objective1,Objective2,X_all_values
7371.7727,0.1358,"[77.8601448, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7384.7533,0.1355,"[45.74749273, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7394.5763,0.1353,"[45.74749273, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7412.1725,0.1353,"[45.74749273, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
6769.1201,0.151,"[98.08784445, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 24.0094369]"
6775.7143,0.1509,"[98.08784445, 20, 49.10510951, 10, 89.63680613, 3, 54.85970442, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18, 80.10608084, 66, 97.94143863, 5, 24.0094369]"
6946.6296,0.1501,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 74.8053645, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7003.2955,0.1492,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 74.8053645, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 24.0094369]"
7153.9363,0.1373,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 74.8053645, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7160.5305,0.1372,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7166.7082,0.1371,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 41.21117143]"
7168.3674,0.137,"[46.00906271, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
6720.4206,0.1518,"[98.08784445, 41, 62.10039781, 10, 88.81936784, 86, 54.85970442, 38, 75.02244234, 20, 98.80360911, 82.35381919, 85.81043666, 18, 80.10608084, 66, 97.94143863, 89, 24.0094369]"
7011.6809,0.1491,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
7026.6608,0.1488,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 74.8053645, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 41.21117143]"
7148.6319,0.1374,"[98.08784445, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 24.0094369]"
6718.7615,0.1519,"[98.08784445, 41, 62.10039781, 10, 88.81936784, 86, 54.85970442, 38, 75.02244234, 20, 98.80360911, 82.35381919, 85.81043666, 18, 80.10608084, 66, 97.94143863, 89, 24.0094369]"
6768.8333,0.151,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 62.33976494, 5, 42.82539224]"
6790.08,0.1507,"[98.08784445, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 74.8053645, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
