Objective1,Objective2,X_all_values
5677.2553,0.2295,"[85.38293632, 5.32235448, 97.01424109, 45.59845394, 75.45983506, 18, 20.15553985, 49.50205073, 66.3108995, 46, 98.18268487, 88, 49.80026495, 62.95189071, 67.06971306, 1.18971379, 92.77772653, 29, 10.69533586]"
5731.0651,0.2256,"[85.92297313, 5.32235448, 103.02606322, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 98.36800779, 63, 55.73588591, 11.87257689, 90.65410737, 65, 93.52672724, 73, 53.70147659]"
5654.7298,0.2354,"[85.92297313, 5.32235448, 103.02606322, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 98.36800779, 63, 55.73588591, 11.87257689, 91.95531404, 65, 93.52672724, 73, 53.70147659]"
5676.1981,0.2295,"[86.66434085, 5.32235448, 97.01424109, 45.59845394, 77.82741926, 18, 91.08057171, 49.50205073, 66.54770631, 46, 100.27919342, 88, 49.69615867, 63, 70.58721353, 1.18971379, 63.22354344, 29, 53.70147659]"
5696.1853,0.2263,"[85.38293632, 5.32235448, 96.37084048, 45.59845394, 77.82741926, 18, 91.08057171, 49.50205073, 66.54770631, 46, 96.71966118, 88, 49.69615867, 63, 70.58721353, 1.18971379, 63.22354344, 29, 53.08234241]"
5759.9207,0.2256,"[85.30542953, 27, 96.74070558, 14, 26.18065076, 46.27674346, 24.4724934, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 55.73588591, 72, 66.05200058, 14, 51.33784949, 55, 53.70987726]"
5763.1196,0.2256,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 24.04188088, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 49.25597535, 72, 66.05200058, 14, 51.33784949, 55, 53.70987726]"
5768.6122,0.2255,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 24.04188088, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 49.25597535, 72, 66.05200058, 14, 51.33784949, 55, 53.70987726]"
5650.0894,0.301,"[85.92297313, 5.32235448, 103.56829736, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 98.36800779, 63, 55.73588591, 11.87257689, 91.95531404, 64.98394561, 94.47202768, 72.50005832, 53.70147659]"
5661.6646,0.2348,"[85.03106449, 5.32235448, 97.01424109, 45.59845394, 75.45983506, 18, 20.98314039, 49.50205073, 65.53850143, 46, 63.28878177, 88, 45.73452387, 62.95189071, 66.05200058, 1.18971379, 92.77772653, 29, 10.69533586]"
5674.3833,0.2295,"[85.30542953, 5.32235448, 96.87814943, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 65.5604259, 5.42420509, 96.8179222, 63, 55.73588591, 11.87257689, 66.05200058, 65, 93.52672724, 73, 9.65284542]"
5675.899,0.2295,"[85.30542953, 5.32235448, 97.01424109, 45.59845394, 75.45983506, 18, 20.15553985, 49.50205073, 66.3108995, 46, 98.18268487, 88, 55.73588591, 62.95189071, 67.06971306, 1.18971379, 92.77772653, 29, 10.69533586]"
5695.2588,0.2264,"[85.30542953, 27, 96.87814943, 14, 26.18065076, 46.27674346, 24.04188088, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 49.25597535, 72, 66.05200058, 14, 51.33784949, 55, 53.70987726]"
5649.9722,0.301,"[85.92297313, 5.32235448, 103.56829736, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 98.36800779, 63, 55.73588591, 11.87257689, 91.95531404, 64.98394561, 94.47202768, 72.50005832, 53.70147659]"
5639.3491,0.3014,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 20.15553985, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 45.73452387, 72, 66.05200058, 14.09794389, 51.33784949, 55, 10.69533586]"
5640.2609,0.3014,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 20.15553985, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 45.73452387, 72, 66.05200058, 14.09794389, 51.33784949, 55, 10.69533586]"
5629.1919,0.3018,"[85.92297313, 5.32235448, 103.02606322, 46.74108459, 77.82741926, 17.64347842, 95.98710571, 50.16707146, 65.5604259, 5.04014299, 100.40655758, 62.89951038, 55.73588591, 8.99707411, 91.95531404, 63.9513838, 93.52672724, 73, 53.70147659]"
5649.2965,0.3011,"[85.30542953, 27, 96.87814943, 14, 26.18065076, 46.27674346, 24.46024883, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 48.78134861, 72, 66.05200058, 14.09794389, 51.33784949, 55, 53.70987726]"
5651.4253,0.2354,"[85.92297313, 5.32235448, 103.02606322, 44.76550643, 77.82741926, 17.84887461, 95.98710571, 50.16707146, 66.54770631, 5.04014299, 98.36800779, 63, 55.73588591, 11.87257689, 93.40118158, 65, 94.33817259, 72.89727294, 53.70147659]"
5597.332,0.5612,"[85.92297313, 6.31561124, 103.82923576, 46.74108459, 77.82741926, 17.64347842, 95.98710571, 50.16707146, 65.5604259, 5.04014299, 100.40655758, 62.89951038, 55.73588591, 8.99707411, 91.95531404, 63.9513838, 93.52672724, 73, 53.70147659]"
5611.0433,0.354,"[31.64432748, 27, 96.03535189, 14, 20.98435051, 46.27674346, 20.15553985, 78.40149362, 65.5604259, 5.42420509, 98.22945324, 63, 45.73452387, 72, 65.84538961, 14.09794389, 51.33784949, 55, 10.69533586]"
13769.5479,0.1323,"[84.46654893, 17.88859996, 32.32656154, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 31.3232593, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13769.8692,0.1323,"[87.2424228, 17.7086427, 35.80272861, 60.31013566, 57.969824, 0.98851681, 38.59404012, 29.75296303, 32.20718313, 45, 32.24157451, 62.36822629, 55.71370711, 48.76928329, 32.13442324, 10.17287393, 33.17075535, 12.28062409, 89.22714836]"
13823.1179,0.1318,"[84.46654893, 17.88859996, 32.32656154, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13933.4981,0.1306,"[84.46654893, 17.88859996, 32.32656154, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13952.7055,0.1291,"[84.46654893, 17.88859996, 32.32656154, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 31.3232593, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
14118.4708,0.1282,"[87.2424228, 17.7086427, 35.80272861, 60.31013566, 57.969824, 0.98851681, 38.59404012, 29.75296303, 32.20718313, 45, 32.24450309, 62.36822629, 55.71370711, 48.76928329, 32.13442324, 10.17287393, 33.17075535, 12.28062409, 89.22714836]"
13721.5155,0.1325,"[84.46654893, 17.88859996, 32.32656154, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 32.11476096, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13522.5631,0.133,"[84.46654893, 17.88859996, 31.36883066, 60, 59.5236471, 0.98851681, 35.4009215, 29.75296303, 32.20718313, 45.1470837, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13560.7221,0.1329,"[84.46654893, 17.88859996, 37.10646459, 60, 58.91652554, 0.98851681, 35.67839856, 29.75296303, 32.20718313, 45, 31.3232593, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 88.87127563]"
13736.5571,0.1324,"[84.46654893, 17.88859996, 37.10646459, 60, 59.5236471, 0.98851681, 38.2156192, 29.8370122, 32.20718313, 45, 30.91687862, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13819.3418,0.1318,"[88.70616993, 17.88859996, 32.32656154, 60, 58.91652554, 0.98851681, 38.59404012, 29.75296303, 32.20718313, 45, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 32.25657399, 12.28062409, 89.30733638]"
13823.1353,0.1318,"[84.46654893, 17.88859996, 37.10646459, 60, 59.5236471, 0.98851681, 38.2156192, 29.8370122, 32.64553999, 45, 30.91687862, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13522.238,0.133,"[84.46654893, 17.88859996, 36.89054351, 60, 59.5236471, 0.98851681, 38.59404012, 29.8370122, 32.20718313, 45, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 32.24987863, 9.3644247, 30.42995061, 12.28062409, 88.87127563]"
13525.8103,0.133,"[84.46654893, 17.88859996, 31.36883066, 60, 58.91652554, 0.98851681, 38.2156192, 29.8370122, 32.20718313, 45.1470837, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.30733638]"
13560.7182,0.1329,"[86.20643655, 17.7086427, 38.26701675, 60.35304776, 57.969824, 0.98851681, 38.2156192, 29.8370122, 32.27369757, 45, 32.75197443, 62.36822629, 55.71370711, 48.76928329, 33.29497063, 10.17287393, 35.01641748, 12.28062409, 89.22714836]"
13497.3164,0.1331,"[84.46654893, 17.88859996, 31.36883066, 60, 59.5236471, 0.98851681, 35.67839856, 29.75296303, 32.20718313, 45, 32.75197443, 62.75217681, 55.71370711, 48.76928329, 33.29497063, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13495.4525,0.1332,"[84.46654893, 17.88859996, 31.36883066, 60, 59.5236471, 0.98851681, 35.67839856, 29.75296303, 32.20718313, 45.1470837, 31.3232593, 62.75217681, 55.71370711, 48.76928329, 33.21856922, 9.3644247, 30.42995061, 12.28062409, 89.22714836]"
13147.1118,0.1333,"[82.41047729, 17.88859996, 31.28653617, 60, 57.969824, 0.98018056, 35.15945426, 29.66978956, 32.51046428, 45, 35.00240446, 62.75217681, 57.76547893, 48.76928329, 33.21856922, 9.3644247, 34.31699055, 12.28062409, 89.30733638]"
13167.6448,0.1333,"[82.77643281, 17.88859996, 41.16142592, 60, 59.5236471, 0.98851681, 38.59404012, 29.75296303, 32.51046428, 45, 35.00240446, 62.75217681, 57.76547893, 48.76928329, 33.21856922, 9.3644247, 35.15343641, 12.28062409, 90.32806778]"
13174.7843,0.1332,"[89.86798985, 17.88859996, 41.16142592, 58.26322258, 57.969824, 0.98851681, 38.59404012, 31.2391044, 32.51046428, 45, 36.90553739, 60.91454189, 57.19215736, 50.39721735, 32.13442324, 9.3644247, 33.75704307, 12.28062409, 90.32806778]"
13196.5272,0.1332,"[82.77643281, 17.88859996, 29.02826082, 60, 60.71377346, 0.98851681, 35.15945426, 29.66978956, 32.51046428, 45, 35.64413041, 62.75217681, 57.76547893, 48.76928329, 35.67179123, 9.3644247, 35.15343641, 12.28062409, 90.32806778]"
